vdh_health_district, locality
Alexandria,Alexandria city
Alleghany,Roanoke
Alleghany,Salem city
Alleghany,Craig
Alleghany,Botetourt
Alleghany,Allegheny
Alleghany,Covington city
Arlington,Arlington
Blue Ridge,Green
Blue Ridge,Albemarle
Blue Ridge,Charlottesville city
Blue Ridge,Louisa
Blue Ridge,Fluvanna
Blue Ridge,Nelson
Central Shenandoah,Bath
Central Shenandoah,Rockbridge
Central Shenandoah,Buena Vista city
Central Shenandoah,Lexington city
Central Shenandoah,Highland
Central Shenandoah,Staunton city
Central Shenandoah,Augusta
Central Shenandoah,Waynesboro city
Central Shenandoah,Harrisonburg city
Central Shenandoah,Rockingham
Central Virginia,Bedford
Central Virginia,Campbell
Central Virginia,Appomattox
Central Virginia,Lynchburg city
Central Virginia,Amherst
Chesapeake,Chesapeake city
Chesterfield,Chesterfield
Chesterfield,Powhatan
Chickahominy,Hanover
Chickahominy,Goochland
Chickahominy,New Kent
Chickahominy,Charles City
Crater,Emporia city
Crater,Greensville
Crater,Sussex
Crater,Surry
Crater,Prince George
Crater,Dinwiddie
Crater,Petersburg city
Crater,Colonial Heights city
Crater,Hopewell city
Cumberland Plateau,Dickinson
Cumberland Plateau,Buchanan
Cumberland Plateau,Tazewell
Cumberland Plateau,Russell
Eastern Shore,Accomack
Eastern Shore,Northampton
Fairfax,Fairfax
Fairfax,Fairfax city
Fairfax,Falls Church city
Hampton,Hampton city
Henrico,Henrico
Lenowisco,Wise
Lenowisco,Norton
Lenowisco,Lee
Lenowisco,Scott
Lord Fairfax,Page
Lord Fairfax,Shenandaoh
Lord Fairfax,Warren
Lord Fairfax,Winchester city
Lord Fairfax,Frederick
Lord Fairfax,Clarke
Loudoun,Loudoun
Mount Rogers,Bristol city
Mount Rogers,Washington
Mount Rogers,Smyth
Mount Rogers,Grayson
Mount Rogers,Galax city
Mount Rogers,Carroll
Mount Rogers,Wythe
Mount Rogers,Bland
New River,Montogmery
New River,Giles
New River,Pulaski
New River,Radford city
New River,Floyd
Norfolk,Norfolk city
Peninsula,James City
Peninsula,York
Peninsula,Williamsburg city
Peninsula,Newport News city
Peninsula,Poquoson city
Piedmont,Buckingham
Piedmont,Cumberland
Piedmont,Amelia
Piedmont,Nottoway
Piedmont,Prince Edward
Piedmont,Charlotte
Piedmont,Lunenburg
Pittsylvania/Danville,Pittsylvania
Pittsylvania/Danville,Danville city
Portsmouth,Portsmouth city
Prince William,Prince William
Prince William,Manassass city
Prince William,Manassass Park city
Rappahannock,Stafford
Rappahannock,King George
Rappahannock,Fredericksburg city
Rappahannock,Caroline
Rappahannock,Spotsylvania
Rappahannock/Rapidan,Rappahannock
Rappahannock/Rapidan,Culpepper
Rappahannock/Rapidan,Madison
Rappahannock/Rapidan,Orange
Rappahannock/Rapidan,Fauquier
Richmond,Richmond city
Roanoke City,Roanoke city
Southside,Halifax
Southside,Mecklenburg
Southside,Brunswick
Three Rivers,Westmoreland
Three Rivers,Richmond
Three Rivers,Northumberland
Three Rivers,Lancaster
Three Rivers,Middlesex
Three Rivers,Mathews
Three Rivers,Glouster
Three Rivers,King William
Three Rivers,Kind and Queen
Three Rivers,Essex
Virginia Beach,Virginia Beach city
West Piedmont,Patrick
West Piedmont,Henry
West Piedmont,Martinsville city
West Piedmont,Franklin city
Western Tidewater,Suffolk
Western Tidewater,Franklin
Western Tidewater,Southampton
Western Tidewater,Isle of Wight